# nonlinearity_1=tanh	dropout_prob_1=0.008172680923374698	similarity_type=cos	usr_id=None	log_dir=logs/lay1-sha-tokgoo-bat24-optada--8	nonlinearity_2=False	verbose=True	bi=True	model_type=lstm_basic	epochs=50	useAdam=True	phase=training	num_epochs=50	num_folds=5	nonlinearity=tanh,False	token_emb=200	weight_decay=1.8044454846752823e-07	dropout_prob_2=0.0013466197621012088	entity_library=True	batch_size=24	corpus_entity_embs=None	no_shuffle=False	stop_criterion=5	layers_lstm=1	ent=True	dropout_prob=0.008172680923374698,0.0013466197621012088	learning_rate=0.000533396665212102	folds=5	useAdadelta=False	level=scene	sim=cos	emb_size=200,134	share_weights=False	bidirectional=True	hidden_lstm_1=459	model_file=None	speaker_emb=134	conf_file=config_google_scene.ini	lr=0.000533396665212102	chunk_size=757	test_every=1	hidden_size=459	stop_criterion_num_epochs=5	id=58	random=False	no_files=False	use_cuda=True	cuda=True	corpus_token_embs=google_news	use_trial=False	optimizer=adam
# python main.py --batch_size 24 --bidirectional --chunk_size 757 --conf_file config_google_scene.ini --dropout_prob_1 0.008172680923374698 --dropout_prob_2 0.0013466197621012088 --entity_library --epochs 50 --file_name auto --folds 5 --hidden_lstm_1 459 --id 58 --layers_lstm 1 --learning_rate 0.000533396665212102 --level scene --log_dir logs/lay1-sha-tokgoo-bat24-optada--8 --model_file auto --nonlinearity_1 tanh --optimizer adam --phase training --similarity_type cos --speaker_emb 134 --stop_criterion 5 --test_every 1 --token_emb google_news --use_cuda --usr_id auto --verbose --weight_decay 1.8044454846752823e-07
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 5.9925289	    0.2636	    0.0126	    7.8004	  10621	 5.9936352	    0.1504	    0.0565	    7.0015	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    0	   16	  0	 5.5795479	   39.3089	    1.1979	   42.1260	  10621	 5.5745602	   40.9929	    2.5948	   44.5839	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    1	   32	  0	 5.5358248	   40.7118	    1.4319	   43.0187	  10621	 5.5377178	   41.8202	    3.0135	   44.9591	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    2	   48	  0	 5.5093331	   42.2559	    2.5840	   44.5490	  10621	 5.5155993	   42.1963	    3.5742	   45.2667	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    3	   64	  0	 5.4843450	   44.1390	    4.3977	   46.5470	  10621	 5.4973645	   43.5878	    4.8060	   47.0232	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    4	   80	  0	 5.4593220	   46.5587	    6.8166	   49.1844	  10621	 5.4769340	   45.3178	    5.7210	   48.9670	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    5	   96	  0	 5.4360042	   49.2327	    9.0249	   52.3103	  10621	 5.4568529	   47.5743	    8.3288	   51.6734	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    6	  112	  0	 5.4107327	   53.8556	   10.4068	   57.7230	  10621	 5.4362130	   50.4701	    9.6825	   55.4054	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    7	  127	  0	 5.3887210	   57.2451	   11.5166	   62.1548	  10621	 5.4214001	   52.9146	   10.2169	   58.9598	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    8	  143	  0	 5.3677006	   59.6931	   11.4726	   64.6985	  10621	 5.4094176	   55.8105	   10.6872	   61.1256	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
