# conf_file=config.ini	random=False	use_cuda=True	no_files=False	verbose=True	no_shuffle=False	phase=training	use_trial=False	level=scene	usr_id=None	id=1	model_file=None	log_dir=logs/bid-dro0.0-dro0.0-ent-hid459-lay1-nontan-simcos-spe134-tokgoo-bat24-chu757-lea0.0-optada-wei1.8	folds=5	epochs=50	test_every=1	stop_criterion=5	batch_size=24	chunk_size=757	learning_rate=0.000533396665212102	weight_decay=1.8044454846752823e-07	optimizer=adam	speaker_emb=134	token_emb=200	bidirectional=True	layers_lstm=1	hidden_lstm_1=459	attention_lstm=False	attention_window=False	window_size=59	entity_library=True	similarity_type=cos	share_weights=False	dropout_prob_1=0.008172680923374698	dropout_prob_2=0.0013466197621012088	nonlinearity_1=tanh	nonlinearity_2=False	dropout_prob=[0.008172680923374698, 0.0013466197621012088]	nonlinearity=['tanh', False]	bi=True	ent=True	sim=cos	cuda=True	lr=0.000533396665212102	useAdadelta=False	useAdam=True	stop_criterion_num_epochs=5	corpus_token_embs=google_news	corpus_entity_embs=None	emb_size=[200, 134]	hidden_size=[459]	model_type=lstm_basic	num_epochs=50	num_folds=5
# python main.py --batch_size 24 --bidirectional --chunk_size 757 --conf_file config.ini --dropout_prob_1 0.008172680923374698 --dropout_prob_2 0.0013466197621012088 --entity_library --epochs 50 --file_name auto --folds 5 --hidden_lstm_1 459 --id 1 --layers_lstm 1 --learning_rate 0.000533396665212102 --level scene --log_dir logs/bid-dro0.0-dro0.0-ent-hid459-lay1-nontan-simcos-spe134-tokgoo-bat24-chu757-lea0.0-optada-wei1.8 --model_file auto --nonlinearity_1 tanh --optimizer adam --phase training --similarity_type cos --speaker_emb 134 --stop_criterion 5 --test_every 1 --token_emb google_news --use_cuda --usr_id auto --verbose --weight_decay 1.8044454846752823e-07 --window_size 59
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 5.9961119	    0.0753	    0.0713	    7.2498	  10621	 5.9962454	    0.0376	    0.0294	    6.7777	   2659	win59--1                      
    0	   16	  0	 5.5534821	   40.3069	    1.7341	   42.4093	  10621	 5.5555439	   41.4442	    2.9032	   44.6565	   2659	win59--1                      
    1	   32	  0	 5.5159340	   42.1900	    3.0368	   44.1403	  10621	 5.5233493	   42.6100	    4.2610	   45.4961	   2659	win59--1                      
    2	   48	  0	 5.4898124	   43.6023	    4.4657	   45.8359	  10621	 5.5017819	   42.8733	    5.1027	   45.9083	   2659	win59--1                      
    3	   64	  0	 5.4652624	   44.9393	    6.3246	   47.2900	  10621	 5.4823122	   44.3400	    6.7480	   47.5485	   2659	win59--1                      
    4	   79	  0	 5.4415779	   47.1519	    8.5769	   49.6877	  10621	 5.4622812	   45.8067	    7.4706	   49.4748	   2659	win59--1                      
    5	   95	  0	 5.4201145	   50.0706	   10.3750	   53.2275	  10621	 5.4443259	   47.4238	    8.7511	   51.6153	   2659	win59--1                      
    6	  110	  0	 5.3996201	   53.3377	   11.3235	   57.7854	  10621	 5.4273520	   49.4171	    9.0431	   54.5461	   2659	win59--1                      
    7	  126	  0	 5.3757720	   57.1039	   12.3950	   61.7190	  10621	 5.4093328	   53.5916	   10.4594	   58.7291	   2659	win59--1                      
    8	  142	  0	 5.3624182	   59.0999	   12.9039	   63.9471	  10621	 5.4039383	   54.8326	   10.5420	   59.5783	   2659	win59--1                      
    9	  158	  0	 5.3397908	   60.9830	   12.9566	   66.0134	  10621	 5.3887210	   55.5472	   10.4655	   60.5743	   2659	win59--1                      
   10	  174	  0	 5.3212919	   62.0186	   13.2080	   67.0788	  10621	 5.3770323	   56.3746	   10.5404	   61.3245	   2659	win59--1                      
   11	  190	  0	 5.3032651	   64.9186	   13.4460	   69.6938	  10621	 5.3646722	   58.5935	   11.2694	   63.3344	   2659	win59--1                      
   12	  206	  0	 5.2873564	   66.8016	   13.9607	   71.3769	  10621	 5.3537998	   59.7593	   11.8492	   64.4073	   2659	win59--1                      
   13	  221	  0	 5.2735882	   68.6941	   14.6158	   73.7453	  10621	 5.3464332	   61.2636	   13.2653	   66.3291	   2659	win59--1                      
   14	  237	  0	 5.2583194	   70.4830	   14.9365	   75.6094	  10621	 5.3392100	   62.3543	   13.5969	   67.4626	   2659	win59--1                      
   15	  253	  0	 5.2440839	   71.9235	   15.2665	   77.0155	  10621	 5.3276815	   63.1440	   13.6638	   68.4546	   2659	win59--1                      
   16	  269	  0	 5.2318239	   72.8745	   16.0515	   77.9603	  10621	 5.3208666	   63.7082	   14.1768	   69.1358	   2659	win59--1                      
   17	  285	  0	 5.2205682	   74.6069	   16.4596	   79.7682	  10621	 5.3114147	   65.2877	   15.0584	   70.7893	   2659	win59--1                      
   18	  300	  0	 5.2058301	   75.9910	   16.8963	   81.6340	  10621	 5.3032694	   66.1151	   15.1019	   72.2429	   2659	win59--1                      
   19	  316	  0	 5.1948748	   76.8666	   17.6146	   82.1850	  10621	 5.2974477	   66.4912	   15.4071	   72.8200	   2659	win59--1                      
   20	  331	  0	 5.1859107	   77.9117	   18.5734	   83.6239	  10621	 5.2936449	   66.4159	   15.6506	   73.3984	   2659	win59--1                      
   21	  345	  0	 5.1787424	   78.0529	   19.2101	   83.4454	  10621	 5.2905912	   66.8672	   16.0916	   73.6968	   2659	win59--1                      
   22	  361	  0	 5.1668077	   79.5499	   21.0549	   85.3583	  10621	 5.2839432	   67.6570	   16.3736	   74.9157	   2659	win59--1                      
   23	  377	  0	 5.1586943	   79.5970	   21.5577	   84.7491	  10621	 5.2776890	   67.5066	   16.6449	   73.9636	   2659	win59--1                      
   24	  393	  0	 5.1495123	   81.4989	   25.8285	   87.1873	  10621	 5.2773895	   67.5442	   17.2195	   74.9966	   2659	win59--1                      
   25	  409	  0	 5.1389403	   81.7249	   27.0775	   86.7186	  10621	 5.2668939	   68.3716	   17.4869	   75.4309	   2659	win59--1                      
   26	  425	  0	 5.1385102	   81.7531	   26.6638	   86.3129	  10621	 5.2652087	   67.8451	   17.5805	   74.1606	   2659	win59--1                      
   27	  441	  0	 5.1245813	   83.6927	   33.4236	   88.9629	  10621	 5.2621675	   68.2211	   17.8308	   76.3773	   2659	win59--1                      
   28	  456	  0	 5.1173253	   84.2576	   34.0860	   89.0431	  10621	 5.2571969	   68.5220	   18.3224	   75.9861	   2659	win59--1                      
   29	  472	  0	 5.1124344	   84.0693	   33.6645	   89.0495	  10621	 5.2542624	   68.3716	   18.6301	   75.4963	   2659	win59--1                      
   30	  488	  0	 5.1074429	   84.6060	   36.5825	   88.9472	  10621	 5.2533669	   67.8827	   18.0984	   75.2188	   2659	win59--1                      
   31	  504	  0	 5.0965075	   86.4796	   43.0122	   90.9129	  10621	 5.2494302	   67.8827	   18.0718	   75.5900	   2659	win59--1                      
   32	  520	  0	 5.0926957	   86.9316	   44.2058	   91.4150	  10621	 5.2494793	   68.0331	   20.2125	   75.8212	   2659	win59--1                      
   33	  536	  0	 5.0831423	   87.2705	   45.7297	   91.5144	  10621	 5.2420259	   68.0331	   18.1812	   75.4498	   2659	win59--1                      
   34	  552	  0	 5.0776143	   88.2214	   47.7913	   92.0949	  10621	 5.2397113	   68.3716	   18.9518	   75.5228	   2659	win59--1                      
   35	  568	  0	 5.0711150	   87.5059	   47.5398	   91.6988	  10621	 5.2322450	   68.7100	   19.7831	   76.0757	   2659	win59--1                      
   36	  583	  0	 5.0649886	   88.6640	   50.2810	   92.5854	  10621	 5.2292461	   68.8229	   20.4815	   76.3368	   2659	win59--1                      
   37	  599	  0	 5.0573964	   88.7205	   50.2740	   92.4513	  10621	 5.2237921	   69.0861	   19.2625	   76.4243	   2659	win59--1                      
   38	  615	  0	 5.0527997	   89.4266	   54.4352	   92.9129	  10621	 5.2234612	   68.8229	   20.8429	   75.9637	   2659	win59--1                      
   39	  631	  0	 5.0446119	   90.3305	   59.6957	   93.5603	  10621	 5.2185664	   69.0485	   21.0299	   76.4087	   2659	win59--1                      
   40	  647	  0	 5.0380588	   90.6129	   60.2336	   93.5046	  10621	 5.2126818	   69.2742	   21.3959	   76.0790	   2659	win59--1                      
   41	  663	  0	 5.0329165	   91.5827	   64.8263	   94.4115	  10621	 5.2132316	   69.0485	   21.5470	   76.3539	   2659	win59--1                      
   42	  679	  0	 5.0267334	   91.8840	   66.2509	   94.5716	  10621	 5.2068639	   68.9733	   20.4546	   76.3323	   2659	win59--1                      
   43	  695	  0	 5.0229082	   92.0535	   66.9307	   94.6908	  10621	 5.2054973	   69.0485	   20.9176	   76.1742	   2659	win59--1                      
   44	  711	  0	 5.0178213	   91.9970	   66.5154	   94.8011	  10621	 5.1999311	   68.8605	   20.8112	   76.6097	   2659	win59--1                      
   45	  727	  0	 5.0121827	   91.7993	   67.5515	   94.3568	  10621	 5.1949825	   69.0861	   20.4735	   76.1105	   2659	win59--1                      
   46	  743	  0	 5.0100737	   92.4772	   69.4053	   95.0644	  10621	 5.1938338	   68.8229	   20.2214	   75.8800	   2659	win59--1                      
   47	  758	  0	 5.0008669	   93.0138	   70.9803	   95.4710	  10621	 5.1890473	   69.0109	   21.6981	   76.5715	   2659	win59--1                      
   48	  774	  0	 4.9986086	   92.8067	   71.0581	   94.9100	  10621	 5.1840296	   69.4246	   19.9840	   76.5673	   2659	win59--1                      
   49	  790	  0	 4.9925895	   93.2304	   73.7235	   95.2542	  10621	 5.1790628	   69.5374	   21.5548	   76.1386	   2659	win59--1                      
   -1	    0	  1	 5.9719086	    0.0659	    0.0163	    7.1286	  10624	 5.9741206	    0.1130	    0.0583	    7.9468	   2656	win59--1                      
    0	   15	  1	 5.5545058	   40.4556	    1.4015	   43.3181	  10624	 5.5896020	   37.8765	    2.9447	   41.7381	   2656	win59--1                      
    1	   31	  1	 5.5168214	   42.3287	    2.3921	   44.4813	  10624	 5.5583744	   38.7801	    4.0412	   41.8764	   2656	win59--1                      
    2	   47	  1	 5.4878244	   43.8347	    3.9768	   45.9280	  10624	 5.5331650	   39.9473	    5.2893	   43.0479	   2656	win59--1                      
    3	   63	  1	 5.4608846	   46.1126	    6.0132	   48.3371	  10624	 5.5095258	   42.5452	    6.5752	   45.7959	   2656	win59--1                      
    4	   78	  1	 5.4394903	   48.8987	    9.6895	   52.0635	  10624	 5.4874911	   44.9172	    8.4426	   48.9901	   2656	win59--1                      
    5	   93	  1	 5.4156146	   52.2684	   11.6893	   55.8018	  10624	 5.4682150	   46.6114	    8.7863	   51.4537	   2656	win59--1                      
    6	  108	  1	 5.3958979	   55.4593	   13.4331	   59.2370	  10624	 5.4506636	   50.0000	    9.9469	   55.0329	   2656	win59--1                      
    7	  124	  1	 5.3774781	   56.4477	   13.0211	   61.4077	  10624	 5.4344535	   51.6190	   10.4896	   57.2860	   2656	win59--1                      
    8	  140	  1	 5.3563333	   59.9115	   14.4864	   64.6898	  10624	 5.4197078	   52.6355	   10.7712	   58.2499	   2656	win59--1                      
    9	  156	  1	 5.3388882	   61.4270	   14.9098	   66.1747	  10624	 5.4062815	   53.5392	   10.9644	   59.1276	   2656	win59--1                      
   10	  171	  1	 5.3222785	   63.6013	   15.3682	   68.2365	  10624	 5.3961964	   55.0452	   11.5040	   60.0089	   2656	win59--1                      
   11	  186	  1	 5.3058472	   65.0038	   15.7447	   69.5048	  10624	 5.3850760	   56.4759	   12.0061	   61.2975	   2656	win59--1                      
   12	  202	  1	 5.2903728	   66.9334	   16.2538	   71.3883	  10624	 5.3744636	   58.5467	   12.4243	   63.3303	   2656	win59--1                      
   13	  218	  1	 5.2768359	   69.9925	   16.9425	   74.3715	  10624	 5.3697910	   60.5045	   12.8485	   65.1060	   2656	win59--1                      
   14	  234	  1	 5.2673516	   70.1713	   16.6785	   74.2139	  10624	 5.3641891	   59.5256	   12.3121	   64.3719	   2656	win59--1                      
   15	  250	  1	 5.2539883	   71.2914	   17.0213	   76.1251	  10624	 5.3489747	   62.0858	   13.1466	   68.1002	   2656	win59--1                      
   16	  266	  1	 5.2329340	   73.4469	   17.6955	   78.2249	  10624	 5.3379169	   62.4623	   13.5636	   67.7710	   2656	win59--1                      
   17	  281	  1	 5.2203727	   74.6047	   17.6589	   79.6108	  10624	 5.3327217	   63.1401	   13.6274	   68.6548	   2656	win59--1                      
