# conf_file=config.ini	random=False	use_cuda=True	no_files=False	verbose=True	no_shuffle=False	phase=training	use_trial=False	level=scene	usr_id=None	id=1	model_file=None	log_dir=logs/bid-dro0.0-dro0.0-ent-hid459-lay1-nontan-sha-simcos-spe134-tokgoo-bat24-chu757-lea0.0-optada-wei1.8	folds=5	epochs=50	test_every=1	stop_criterion=5	batch_size=24	chunk_size=757	learning_rate=0.000533396665212102	weight_decay=1.8044454846752823e-07	optimizer=adam	speaker_emb=134	token_emb=200	bidirectional=True	layers_lstm=1	hidden_lstm_1=459	attention_lstm=False	attention_window=False	window_size=21	entity_library=True	similarity_type=cos	share_weights=True	dropout_prob_1=0.008172680923374698	dropout_prob_2=0.0013466197621012088	nonlinearity_1=tanh	nonlinearity_2=False	dropout_prob=[0.008172680923374698, 0.0013466197621012088]	nonlinearity=['tanh', False]	bi=True	ent=True	sim=cos	cuda=True	lr=0.000533396665212102	useAdadelta=False	useAdam=True	stop_criterion_num_epochs=5	corpus_token_embs=google_news	corpus_entity_embs=None	emb_size=[200, 134]	hidden_size=[459]	model_type=lstm_basic	num_epochs=50	num_folds=5
# python main.py --batch_size 24 --bidirectional --chunk_size 757 --conf_file config.ini --dropout_prob_1 0.008172680923374698 --dropout_prob_2 0.0013466197621012088 --entity_library --epochs 50 --file_name auto --folds 5 --hidden_lstm_1 459 --id 1 --layers_lstm 1 --learning_rate 0.000533396665212102 --level scene --log_dir logs/bid-dro0.0-dro0.0-ent-hid459-lay1-nontan-sha-simcos-spe134-tokgoo-bat24-chu757-lea0.0-optada-wei1.8 --model_file auto --nonlinearity_1 tanh --optimizer adam --phase training --share_weights --similarity_type cos --speaker_emb 134 --stop_criterion 5 --test_every 1 --token_emb google_news --use_cuda --usr_id auto --verbose --weight_decay 1.8044454846752823e-07 --window_size 21
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 6.0152621	    0.0188	    0.0053	    7.2538	  10621	 6.0085945	    0.0752	    0.0097	    6.9443	   2659	win21--1                      
    0	   16	  0	 5.5551610	   39.7703	    1.2539	   41.8620	  10621	 5.5549660	   41.3313	    2.6354	   45.2825	   2659	win21--1                      
    1	   32	  0	 5.5238686	   41.0602	    1.7289	   43.2378	  10621	 5.5265446	   42.1963	    3.3353	   47.2104	   2659	win21--1                      
    2	   47	  0	 5.4969740	   42.7643	    3.1583	   45.0227	  10621	 5.5050068	   42.9109	    4.6249	   47.9558	   2659	win21--1                      
    3	   63	  0	 5.4745159	   44.3555	    5.3945	   46.7255	  10621	 5.4868708	   44.1519	    5.6976	   49.3178	   2659	win21--1                      
    4	   79	  0	 5.4521194	   46.3892	    7.2321	   48.9352	  10621	 5.4685345	   45.9195	    7.4457	   51.3645	   2659	win21--1                      
    5	   95	  0	 5.4301548	   49.2609	    9.3668	   52.3547	  10621	 5.4506621	   47.9127	    8.8543	   53.2008	   2659	win21--1                      
    6	  111	  0	 5.4085302	   51.7183	   10.7641	   55.4296	  10621	 5.4333239	   49.6051	   10.0004	   55.2374	   2659	win21--1                      
    7	  127	  0	 5.3852582	   54.6841	   11.9275	   59.9292	  10621	 5.4174891	   52.2753	   10.3936	   59.5239	   2659	win21--1                      
    8	  143	  0	 5.3664608	   59.4200	   12.4666	   64.3042	  10621	 5.4068160	   55.6224	   11.9176	   61.9278	   2659	win21--1                      
    9	  159	  0	 5.3437667	   61.6609	   12.8877	   66.9541	  10621	 5.3932977	   56.8635	   11.8948	   63.5043	   2659	win21--1                      
   10	  175	  0	 5.3255310	   64.8527	   12.9813	   69.5751	  10621	 5.3795972	   58.8943	   12.4127	   64.6602	   2659	win21--1                      
   11	  191	  0	 5.3075008	   66.9805	   13.4534	   72.0101	  10621	 5.3680663	   60.5491	   12.3301	   66.8261	   2659	win21--1                      
   12	  206	  0	 5.2854056	   69.0895	   13.4168	   74.1040	  10621	 5.3527331	   62.2038	   13.1462	   68.5640	   2659	win21--1                      
   13	  222	  0	 5.2706790	   70.3041	   14.0682	   75.2791	  10621	 5.3443842	   62.8432	   14.0275	   69.1451	   2659	win21--1                      
   14	  238	  0	 5.2603621	   71.3021	   14.3770	   76.7173	  10621	 5.3391714	   63.1064	   13.2642	   69.9496	   2659	win21--1                      
   15	  254	  0	 5.2451644	   73.6560	   15.8898	   79.3030	  10621	 5.3324895	   64.2723	   14.3585	   71.5927	   2659	win21--1                      
   16	  270	  0	 5.2308416	   74.7199	   16.4621	   80.1843	  10621	 5.3186564	   65.2501	   14.9029	   72.8774	   2659	win21--1                      
   17	  286	  0	 5.2276983	   74.7387	   17.0631	   80.0591	  10621	 5.3196855	   64.7988	   15.0214	   72.0650	   2659	win21--1                      
   18	  302	  0	 5.2077303	   76.4617	   17.4928	   81.7834	  10621	 5.3058872	   66.5288	   15.6287	   74.0352	   2659	win21--1                      
   19	  318	  0	 5.1975493	   77.5257	   18.1119	   82.9542	  10621	 5.2997775	   66.3783	   15.9030	   73.9684	   2659	win21--1                      
   20	  334	  0	 5.1871920	   78.8061	   19.2077	   84.4672	  10621	 5.2936978	   67.6570	   16.2815	   75.5859	   2659	win21--1                      
   21	  349	  0	 5.1799655	   78.6932	   19.6869	   84.4724	  10621	 5.2914276	   66.6040	   16.9556	   74.3106	   2659	win21--1                      
