# conf_file=config.ini	random=False	use_cuda=True	no_files=False	verbose=True	no_shuffle=False	phase=training	use_trial=False	level=scene	usr_id=None	id=1	model_file=None	log_dir=logs/bid-dro0.0-dro0.0-hid459-lay1-nontan-simcos-spe134-tokgoo-bat24-chu757-lea0.0-optada-wei1.8	folds=5	epochs=50	test_every=1	stop_criterion=5	batch_size=24	chunk_size=757	learning_rate=0.000533396665212102	weight_decay=1.8044454846752823e-07	optimizer=adam	speaker_emb=134	token_emb=200	bidirectional=True	layers_lstm=1	hidden_lstm_1=459	attention_lstm=False	attention_window=False	window_size=28	entity_library=False	similarity_type=cos	share_weights=False	dropout_prob_1=0.008172680923374698	dropout_prob_2=0.0013466197621012088	nonlinearity_1=tanh	nonlinearity_2=False	dropout_prob=[0.008172680923374698, 0.0013466197621012088]	nonlinearity=['tanh', False]	bi=True	ent=False	sim=cos	cuda=True	lr=0.000533396665212102	useAdadelta=False	useAdam=True	stop_criterion_num_epochs=5	corpus_token_embs=google_news	corpus_entity_embs=None	emb_size=[200, 134]	hidden_size=[459]	model_type=lstm_basic	num_epochs=50	num_folds=5
# python main.py --batch_size 24 --bidirectional --chunk_size 757 --conf_file config.ini --dropout_prob_1 0.008172680923374698 --dropout_prob_2 0.0013466197621012088 --epochs 50 --file_name auto --folds 5 --hidden_lstm_1 459 --id 1 --layers_lstm 1 --learning_rate 0.000533396665212102 --level scene --log_dir logs/bid-dro0.0-dro0.0-hid459-lay1-nontan-simcos-spe134-tokgoo-bat24-chu757-lea0.0-optada-wei1.8 --model_file auto --nonlinearity_1 tanh --optimizer adam --phase training --similarity_type cos --speaker_emb 134 --stop_criterion 5 --test_every 1 --token_emb google_news --use_cuda --usr_id auto --verbose --weight_decay 1.8044454846752823e-07 --window_size 28
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 5.9695311	    0.0471	    0.0029	    7.3676	  10621	 5.9731007	    0.0376	    0.2646	    6.7630	   2659	win28--1                      
    0	   16	  0	 4.3934550	   39.7891	    1.0085	   41.8560	  10621	 4.4143829	   41.2185	    2.4645	   44.2599	   2659	win28--1                      
    1	   32	  0	 3.0292919	   41.1167	    1.0238	   42.5430	  10621	 3.2005098	   42.7980	    2.5376	   44.9435	   2659	win28--1                      
    2	   47	  0	 2.7972641	   41.2108	    1.0267	   43.2444	  10621	 3.0941467	   42.4220	    2.5330	   46.4040	   2659	win28--1                      
    3	   63	  0	 2.6615467	   42.0488	    1.0516	   43.8620	  10621	 3.0262187	   42.0459	    2.4833	   44.2747	   2659	win28--1                      
    4	   79	  0	 2.5343139	   42.8020	    1.0704	   44.9462	  10621	 3.0164406	   42.9485	    2.5460	   45.8940	   2659	win28--1                      
    5	   95	  0	 2.4419875	   43.7059	    1.2390	   45.7564	  10621	 2.9637675	   43.6630	    2.6103	   46.8264	   2659	win28--1                      
    6	  111	  0	 2.3200617	   44.7886	    1.3792	   46.8258	  10621	 2.9130657	   44.4904	    2.8971	   47.3391	   2659	win28--1                      
    7	  127	  0	 2.2214153	   45.3630	    1.4218	   47.6424	  10621	 2.8718822	   45.0545	    2.9565	   48.3374	   2659	win28--1                      
    8	  143	  0	 2.1170785	   46.6340	    1.8624	   49.3338	  10621	 2.8331270	   45.8443	    3.4021	   49.1174	   2659	win28--1                      
    9	  159	  0	 2.0211010	   48.4135	    2.5692	   51.3471	  10621	 2.8006148	   46.7093	    3.5125	   50.2267	   2659	win28--1                      
   10	  174	  0	 1.9227866	   51.0498	    3.1411	   54.4282	  10621	 2.7561722	   48.1760	    3.9248	   51.5665	   2659	win28--1                      
   11	  190	  0	 1.8201274	   53.0741	    3.6348	   56.6239	  10621	 2.7151527	   49.5675	    4.4685	   53.0312	   2659	win28--1                      
