# conf_file=config.ini	random=False	use_cuda=True	no_files=False	verbose=True	no_shuffle=False	phase=training	use_trial=False	level=scene	usr_id=None	id=1	model_file=None	log_dir=logs/bid-dro0.0-dro0.0-hid459-lay1-nontan-sha-simcos-spe134-tokgoo-bat24-chu757-lea0.0-optada-wei1.8	folds=5	epochs=50	test_every=1	stop_criterion=5	batch_size=24	chunk_size=757	learning_rate=0.000533396665212102	weight_decay=1.8044454846752823e-07	optimizer=adam	speaker_emb=134	token_emb=200	bidirectional=True	layers_lstm=1	hidden_lstm_1=459	attention_lstm=False	attention_window=False	window_size=41	entity_library=False	similarity_type=cos	share_weights=True	dropout_prob_1=0.008172680923374698	dropout_prob_2=0.0013466197621012088	nonlinearity_1=tanh	nonlinearity_2=False	dropout_prob=[0.008172680923374698, 0.0013466197621012088]	nonlinearity=['tanh', False]	bi=True	ent=False	sim=cos	cuda=True	lr=0.000533396665212102	useAdadelta=False	useAdam=True	stop_criterion_num_epochs=5	corpus_token_embs=google_news	corpus_entity_embs=None	emb_size=[200, 134]	hidden_size=[459]	model_type=lstm_basic	num_epochs=50	num_folds=5
# python main.py --batch_size 24 --bidirectional --chunk_size 757 --conf_file config.ini --dropout_prob_1 0.008172680923374698 --dropout_prob_2 0.0013466197621012088 --epochs 50 --file_name auto --folds 5 --hidden_lstm_1 459 --id 1 --layers_lstm 1 --learning_rate 0.000533396665212102 --level scene --log_dir logs/bid-dro0.0-dro0.0-hid459-lay1-nontan-sha-simcos-spe134-tokgoo-bat24-chu757-lea0.0-optada-wei1.8 --model_file auto --nonlinearity_1 tanh --optimizer adam --phase training --share_weights --similarity_type cos --speaker_emb 134 --stop_criterion 5 --test_every 1 --token_emb google_news --use_cuda --usr_id auto --verbose --weight_decay 1.8044454846752823e-07 --window_size 41
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 6.0310698	    0.0565	    0.0061	    7.3248	  10621	 6.0292954	    0.0000	    0.0000	    6.7671	   2659	win41--1                      
    0	   16	  0	 3.9253817	   38.4239	    0.9401	   40.3411	  10621	 3.9552362	   40.4663	    2.4166	   42.8239	   2659	win41--1                      
    1	   32	  0	 3.0023181	   40.3352	    1.0122	   41.9649	  10621	 3.1404033	   41.8578	    2.4748	   43.9887	   2659	win41--1                      
    2	   48	  0	 2.8209929	   41.0319	    1.0262	   42.8472	  10621	 3.0832448	   42.6476	    2.5236	   45.0038	   2659	win41--1                      
    3	   64	  0	 2.6997211	   42.1806	    1.0561	   44.1511	  10621	 3.0649507	   42.8357	    2.5447	   45.3566	   2659	win41--1                      
    4	   80	  0	 2.5720685	   43.1598	    1.1447	   45.0401	  10621	 3.0286117	   42.5724	    2.5142	   44.8080	   2659	win41--1                      
    5	   95	  0	 2.4713657	   43.6494	    1.2071	   45.5000	  10621	 2.9625115	   43.5502	    2.5750	   45.9238	   2659	win41--1                      
    6	  111	  0	 2.3626015	   44.6662	    1.3748	   46.6684	  10621	 2.9386458	   44.0767	    2.7991	   46.6169	   2659	win41--1                      
    7	  126	  0	 2.2447042	   45.5607	    1.4331	   47.7582	  10621	 2.8803501	   44.8289	    2.9249	   47.3487	   2659	win41--1                      
    8	  142	  0	 2.1417148	   47.0106	    2.0580	   49.5750	  10621	 2.8334513	   45.3554	    2.9853	   48.0441	   2659	win41--1                      
    9	  158	  0	 2.0748913	   48.3853	    2.9344	   51.2420	  10621	 2.7947445	   46.9725	    3.6686	   49.8979	   2659	win41--1                      
   10	  174	  0	 1.9657648	   50.5508	    3.5751	   53.7448	  10621	 2.7468455	   47.6495	    4.2328	   50.9667	   2659	win41--1                      
   11	  190	  0	 1.8492577	   52.6222	    3.9960	   56.1207	  10621	 2.6945224	   49.2666	    4.0018	   52.3719	   2659	win41--1                      
   12	  206	  0	 1.7428650	   55.6727	    5.0723	   59.5526	  10621	 2.6348317	   50.7334	    5.5546	   54.2720	   2659	win41--1                      
   13	  222	  0	 1.6339616	   57.8571	    5.7890	   62.1426	  10621	 2.5505309	   52.3505	    5.5433	   56.4283	   2659	win41--1                      
   14	  238	  0	 1.5346413	   60.4557	    6.3683	   65.1083	  10621	 2.4828041	   54.2309	    5.9815	   58.7357	   2659	win41--1                      
   15	  254	  0	 1.4362736	   63.8640	    8.8510	   69.5114	  10621	 2.4189680	   55.8105	    6.8667	   61.4581	   2659	win41--1                      
   16	  268	  0	 1.3432869	   65.5211	    9.4763	   71.2562	  10621	 2.3958716	   56.1113	    6.9273	   62.2149	   2659	win41--1                      
   17	  284	  0	 1.2589900	   68.1480	   12.0470	   74.4031	  10621	 2.3671288	   56.8635	    7.3672	   63.6882	   2659	win41--1                      
   18	  300	  0	 1.1918138	   69.9934	   13.5695	   76.1233	  10621	 2.3281286	   58.2174	    7.4672	   65.4321	   2659	win41--1                      
   19	  316	  0	 1.1419103	   71.9047	   15.0725	   78.9424	  10621	 2.2932928	   59.8721	    7.8816	   68.5180	   2659	win41--1                      
   20	  331	  0	 1.0703485	   73.2040	   16.6774	   79.4229	  10621	 2.2718120	   60.3610	    7.8323	   68.4454	   2659	win41--1                      
   21	  347	  0	 1.0203989	   74.9364	   18.4231	   82.0766	  10621	 2.2554395	   59.9850	    8.3970	   69.5973	   2659	win41--1                      
   22	  363	  0	 0.9783776	   76.0569	   20.3159	   82.5694	  10621	 2.2380924	   61.0756	    8.7785	   70.0795	   2659	win41--1                      
   23	  379	  0	 0.9294202	   77.4033	   22.6481	   84.4581	  10621	 2.2391231	   61.4893	    9.6373	   72.0170	   2659	win41--1                      
   24	  395	  0	 0.8682832	   79.2863	   25.1033	   85.9981	  10621	 2.1918383	   62.2414	    8.9546	   72.5879	   2659	win41--1                      
   25	  410	  0	 0.8080433	   80.0678	   28.7568	   86.6236	  10621	 2.1716981	   62.8432	    9.6172	   73.2452	   2659	win41--1                      
   26	  426	  0	 0.7927911	   80.7551	   31.1828	   87.2174	  10621	 2.1603353	   62.9184	    9.8049	   72.8144	   2659	win41--1                      
   27	  442	  0	 0.7703890	   81.6213	   33.9456	   88.1520	  10621	 2.1565728	   63.4073	   10.2000	   74.4555	   2659	win41--1                      
   28	  458	  0	 0.7322682	   82.7888	   38.1724	   88.7188	  10621	 2.1416411	   63.0312	    9.9762	   74.0764	   2659	win41--1                      
